datetime,United States : all fuels (utility-scale) thousand megawatthours,United States : coal thousand megawatthours,United States : natural gas thousand megawatthours,United States : nuclear thousand megawatthours,United States : conventional hydroelectric thousand megawatthours,United States : wind thousand megawatthours,United States : all solar thousand megawatthours
2006-12-01 00:00:00,336283.2459,173508.95112,56128.18599,70489.681,21595.95122,2471.68958,0.0
2006-11-01 00:00:00,309158.82642,159439.51728,53439.69272,61392.320999999996,20271.722569999998,2540.48864,0.0
2006-10-01 00:00:00,321567.09131,161389.65914,70640.03895,57509.306,17055.17699,2442.12988,0.0
2006-09-01 00:00:00,332055.32084,161590.35416,72673.34797999999,66642.327,17201.46086,1879.14378,0.0
2006-08-01 00:00:00,407762.53635999997,189454.92967,106591.66595,72016.095,21728.3537,1655.18688,0.0
2006-07-01 00:00:00,410420.79333,187820.87151,108093.51438,72186.494,25439.392369999998,1955.0642300000002,0.0
2006-06-01 00:00:00,364259.79756,169693.4782,81060.20993,68391.47200000001,29757.284089999997,2051.76563,0.0
2006-05-01 00:00:00,330615.57003,157009.75508,65585.60534,62775.700999999994,30818.442939999997,2458.6826,0.0
2006-04-01 00:00:00,297858.07754,141426.23364000002,56090.85627999999,57567.204000000005,28555.682969999998,2471.76225,0.0
2006-03-01 00:00:00,318729.79961,161325.11525,54921.74189,63720.849,24624.608809999998,2358.63174,0.0
2006-02-01 00:00:00,307333.43003000005,158616.18891,47408.9894,62615.654,24761.68318,1921.9584399999999,0.0
2006-01-01 00:00:00,328657.73849,169236.08057,43806.92078,71911.532,27436.65597,2382.63335,0.0
2005-12-01 00:00:00,348101.07055,177965.17958,53992.601220000004,71735.067,22141.15675,1827.81389,0.0
2005-11-01 00:00:00,306115.23623000004,158797.52701,49440.22594,62912.709,19352.66779,1609.6914800000002,0.0
2005-10-01 00:00:00,316397.92361,162436.79301,55940.88089,61235.597,18006.360259999998,1446.1898199999998,0.0
2005-09-01 00:00:00,350217.80051,171656.21549,73355.48269,66738.979,17363.68401,1468.3469599999999,0.0
2005-08-01 00:00:00,404940.68107,187573.75443,100786.65435,71381.55,21565.678819999997,1138.03152,0.0
2005-07-01 00:00:00,402273.84646,186090.75719,96819.41031,71070.011,25956.841519999998,1420.94183,0.0
2005-06-01 00:00:00,363671.63602,174866.99726,75635.49253999999,66144.275,26782.98993,1796.92435,0.0
2005-05-01 00:00:00,315062.10994,153957.96154000002,54826.00402000001,62970.46400000001,27278.510960000003,1746.42955,0.0
2005-04-01 00:00:00,289562.39986999996,143083.23903,52016.28598,55484.01,23058.358630000002,1697.5037,0.0
2005-03-01 00:00:00,317458.27645,163612.7005,51896.97271,61538.53,22936.06749,1560.62565,0.0
2005-02-01 00:00:00,298500.31558,155818.01413,44912.61665,60946.934,21606.77394,966.4817800000001,0.0
2005-01-01 00:00:00,343121.45336,177013.90662,51337.62707,69828.239,24272.16485,1131.5685,0.0
2004-12-01 00:00:00,341947.96342,176755.20145,51309.56547,68616.62700000001,26210.71849,1172.00867,0.0
2004-11-01 00:00:00,302101.2562,157435.99421,49693.03398,58940.863,20937.044380000003,932.203,0.0
2004-10-01 00:00:00,312450.22288,157605.0954,57228.813989999995,62530.352,18862.7954,1028.8727199999998,0.0
2004-09-01 00:00:00,335622.19789,164252.92334,67853.99334,65932.057,20525.26137,1089.61523,0.0
2004-08-01 00:00:00,368439.03706,178181.34259000001,77820.68835,71068.483,21591.967419999997,1050.71885,0.0
2004-07-01 00:00:00,377331.69713000004,181491.82062,79290.02223999999,71975.04,23318.27953,1164.3700900000001,0.0
2004-06-01 00:00:00,345085.07883,167641.90627,64685.66904,67734.073,25252.34503,1397.20574,0.0
2004-05-01 00:00:00,327380.26364,157016.37722999998,62021.80807000001,64917.412000000004,24019.718119999998,1701.65148,0.0
